"","from","to","m","km","miles","seconds","minutes","hours","Country.to","Country.from"
"1","Burgas","Aalborg",2764375,2764.375,1717.782625,94446,1574.1,26.235,"Denmark","Bulgaria"
"2","Burgas","Amadora",3924870,3924.87,2438.914218,130395,2173.25,36.2208333333333,"Portugal","Bulgaria"
"3","Burgas","Amsterdam",2548667,2548.667,1583.7416738,87092,1451.53333333333,24.1922222222222,"Netherlands","Bulgaria"
"4","Burgas","Antwerp",2501134,2501.134,1554.2046676,85280,1421.33333333333,23.6888888888889,"Belgium","Bulgaria"
"5","Burgas","Arhus",2655096,2655.096,1649.8766544,90973,1516.21666666667,25.2702777777778,"Denmark","Bulgaria"
"6","Burgas","Athens",1083325,1083.325,673.178155,38938,648.966666666667,10.8161111111111,"Greece","Bulgaria"
"7","Burgas","Barcelona",2771715,2771.715,1722.343701,94297,1571.61666666667,26.1936111111111,"Spain","Bulgaria"
"8","Burgas","Bergen",3425869,3425.869,2128.8349966,135731,2262.18333333333,37.7030555555556,"Norway","Bulgaria"
"9","Burgas","Berlin",2027226,2027.226,1259.7182364,70584,1176.4,19.6066666666667,"Germany","Bulgaria"
"10","Burgas","Bettembourg",2328073,2328.073,1446.6645622,79449,1324.15,22.0691666666667,"Luxembourg","Bulgaria"
"11","Burgas","Birkirkara",1962246,1962.246,1219.3396644,109863,1831.05,30.5175,"Malta","Bulgaria"
"12","Burgas","Birmingham",NA,NA,NA,NA,NA,NA,"UK","Bulgaria"
"13","Burgas","Braga",3740980,3740.98,2324.644972,124258,2070.96666666667,34.5161111111111,"Portugal","Bulgaria"
"14","Burgas","Bratislava",1353191,1353.191,840.8728874,46864,781.066666666667,13.0177777777778,"Slovakia","Bulgaria"
"15","Burgas","Brno",1478385,1478.385,918.668439,51309,855.15,14.2525,"Czech Republic","Bulgaria"
"16","Burgas","Brussels",2504630,2504.63,1556.377082,85265,1421.08333333333,23.6847222222222,"Belgium","Bulgaria"
"17","Burgas","Bucharest",314386,314.386,195.3594604,16938,282.3,4.705,"Romania","Bulgaria"
"18","Burgas","Budapest",1159799,1159.799,720.6990986,41040,684,11.4,"Hungary","Bulgaria"
"19","Burgas","Burgas",0,0,0,0,0,0,"Bulgaria","Bulgaria"
"20","Burgas","Celje",1286029,1286.029,799.1384206,45902,765.033333333333,12.7505555555556,"Slovenia","Bulgaria"
