"","from","to","m","km","miles","seconds","minutes","hours","Country.to","Country.from"
"1","Athens","Aalborg",3082604,3082.604,1915.5301256,105841,1764.01666666667,29.4002777777778,"Denmark","Greece"
"2","Athens","Amadora",4243099,4243.099,2636.6617186,141790,2363.16666666667,39.3861111111111,"Portugal","Greece"
"3","Athens","Amsterdam",2866896,2866.896,1781.4891744,98486,1641.43333333333,27.3572222222222,"Netherlands","Greece"
"4","Athens","Antwerp",2819363,2819.363,1751.9521682,96675,1611.25,26.8541666666667,"Belgium","Greece"
"5","Athens","Arhus",2973325,2973.325,1847.624155,102367,1706.11666666667,28.4352777777778,"Denmark","Greece"
"6","Athens","Athens",0,0,0,0,0,0,"Greece","Greece"
"7","Athens","Barcelona",3089944,3089.944,1920.0912016,105691,1761.51666666667,29.3586111111111,"Spain","Greece"
"8","Athens","Bergen",3744098,3744.098,2326.5824972,147126,2452.1,40.8683333333333,"Norway","Greece"
"9","Athens","Berlin",2345455,2345.455,1457.465737,81979,1366.31666666667,22.7719444444444,"Germany","Greece"
"10","Athens","Bettembourg",2646302,2646.302,1644.4120628,90843,1514.05,25.2341666666667,"Luxembourg","Greece"
"11","Athens","Birkirkara",1502167,1502.167,933.4465738,97675,1627.91666666667,27.1319444444444,"Malta","Greece"
"12","Athens","Birmingham",NA,NA,NA,NA,NA,NA,"UK","Greece"
"13","Athens","Braga",4059209,4059.209,2522.3924726,135653,2260.88333333333,37.6813888888889,"Portugal","Greece"
"14","Athens","Bratislava",1671420,1671.42,1038.620388,58259,970.983333333333,16.1830555555556,"Slovakia","Greece"
"15","Athens","Brno",1796614,1796.614,1116.4159396,62703,1045.05,17.4175,"Czech Republic","Greece"
"16","Athens","Brussels",2822859,2822.859,1754.1245826,96660,1611,26.85,"Belgium","Greece"
"17","Athens","Bucharest",1158571,1158.571,719.9360194,48971,816.183333333333,13.6030555555556,"Romania","Greece"
"18","Athens","Budapest",1478028,1478.028,918.4465992,52435,873.916666666667,14.5652777777778,"Hungary","Greece"
"19","Athens","Burgas",1085165,1085.165,674.321531,38818,646.966666666667,10.7827777777778,"Bulgaria","Greece"
"20","Athens","Celje",1604258,1604.258,996.8859212,57297,954.95,15.9158333333333,"Slovenia","Greece"
"21","Athens","Charleroi",2826174,2826.174,1756.1845236,96352,1605.86666666667,26.7644444444444,"Belgium","Greece"
"22","Athens","Cluj-Napoca",1437754,1437.754,893.4203356,64813,1080.21666666667,18.0036111111111,"Romania","Greece"
"23","Athens","Cologne",2615341,2615.341,1625.1728974,89461,1491.01666666667,24.8502777777778,"Germany","Greece"
"24","Athens","Copenhagen",2801481,2801.481,1740.8402934,102962,1716.03333333333,28.6005555555556,"Denmark","Greece"
"25","Athens","Cracow",1872964,1872.964,1163.8598296,72510,1208.5,20.1416666666667,"Poland","Greece"
"26","Athens","Craiova",1061295,1061.295,659.488713,44106,735.1,12.2516666666667,"Romania","Greece"
"27","Athens","Daugavpils",2967855,2967.855,1844.225097,109812,1830.2,30.5033333333333,"Latvia","Greece"
"28","Athens","Debrecen",1572963,1572.963,977.4392082,57933,965.55,16.0925,"Hungary","Greece"
"29","Athens","Drammen",3408165,3408.165,2117.833731,124425,2073.75,34.5625,"Norway","Greece"
"30","Athens","Dudelange",2648383,2648.383,1645.7051962,90923,1515.38333333333,25.2563888888889,"Luxembourg","Greece"
"31","Athens","Eindhoven",2764510,2764.51,1717.866514,94893,1581.55,26.3591666666667,"Netherlands","Greece"
"32","Athens","Esbjerg",2903856,2903.856,1804.4561184,101178,1686.3,28.105,"Denmark","Greece"
"33","Athens","Esch-Alzette",2656676,2656.676,1650.8584664,91208,1520.13333333333,25.3355555555556,"Luxembourg","Greece"
"34","Athens","Espoo",3429427,3429.427,2131.0459378,137053,2284.21666666667,38.0702777777778,"Finland","Greece"
"35","Athens","Frankfurt",2434045,2434.045,1512.515563,83909,1398.48333333333,23.3080555555556,"Germany","Greece"
"36","Athens","Gazimagusa",2165719,2165.719,1345.7777866,92299,1538.31666666667,25.6386111111111,"Cyprus","Greece"
"37","Athens","Gent",2880877,2880.877,1790.1769678,98513,1641.88333333333,27.3647222222222,"Belgium","Greece"
"38","Athens","Glasgow",3867632,3867.632,2403.3465248,133498,2224.96666666667,37.0827777777778,"UK","Greece"
"39","Athens","Goteborg",3104748,3104.748,1929.2904072,113341,1889.01666666667,31.4836111111111,"Sweden","Greece"
"40","Athens","Graz",1675784,1675.784,1041.3321776,58840,980.666666666667,16.3444444444444,"Austria","Greece"
"41","Athens","Hamburg",2635225,2635.225,1637.528815,90415,1506.91666666667,25.1152777777778,"Germany","Greece"
"42","Athens","Helsinki",3410736,3410.736,2119.4313504,136259,2270.98333333333,37.8497222222222,"Finland","Greece"
"43","Athens","Iasi",1556985,1556.985,967.510479,68217,1136.95,18.9491666666667,"Romania","Greece"
"44","Athens","Innsbruck",2079962,2079.962,1292.4883868,72594,1209.9,20.165,"Austria","Greece"
"45","Athens","Iraklion",341924,341.924,212.4715736,35765,596.083333333333,9.93472222222222,"Greece","Greece"
"46","Athens","Jelgava",2979443,2979.443,1851.4258802,109031,1817.18333333333,30.2863888888889,"Latvia","Greece"
"47","Athens","Jurmala",3023929,3023.929,1879.0694806,111135,1852.25,30.8708333333333,"Latvia","Greece"
"48","Athens","Kaunas",2757331,2757.331,1713.4054834,99429,1657.15,27.6191666666667,"Lithuania","Greece"
"49","Athens","Klaipeda",2926903,2926.903,1818.7775242,105747,1762.45,29.3741666666667,"Lithuania","Greece"
"50","Athens","Kohtla-Jarve",3400581,3400.581,2113.1210334,127379,2122.98333333333,35.3830555555556,"Estonia","Greece"
"51","Athens","Kosice",1722838,1722.838,1070.5715332,60686,1011.43333333333,16.8572222222222,"Slovakia","Greece"
"52","Athens","Kranj",1662515,1662.515,1033.086821,57689,961.483333333333,16.0247222222222,"Slovenia","Greece"
"53","Athens","Larnaca",2175381,2175.381,1351.7817534,92777,1546.28333333333,25.7713888888889,"Cyprus","Greece"
"54","Athens","Leeds",3497987,3497.987,2173.6491218,121774,2029.56666666667,33.8261111111111,"UK","Greece"
"55","Athens","Lemesos",2204299,2204.299,1369.7513986,93613,1560.21666666667,26.0036111111111,"Cyprus","Greece"
"56","Athens","Liege",2735462,2735.462,1699.8160868,93471,1557.85,25.9641666666667,"Belgium","Greece"
"57","Athens","Liepaja",3018788,3018.788,1875.8748632,109696,1828.26666666667,30.4711111111111,"Latvia","Greece"
"58","Athens","Linz",1903481,1903.481,1182.8230934,65825,1097.08333333333,18.2847222222222,"Austria","Greece"
"59","Athens","Lisbon",4239006,4239.006,2634.1183284,142113,2368.55,39.4758333333333,"Portugal","Greece"
"60","Athens","Liverpool",3559732,3559.732,2212.0174648,123737,2062.28333333333,34.3713888888889,"UK","Greece"
"61","Athens","Ljubljana",1630239,1630.239,1013.0305146,56708,945.133333333333,15.7522222222222,"Slovenia","Greece"
"62","Athens","Lodz",2250024,2250.024,1398.1649136,77972,1299.53333333333,21.6588888888889,"Poland","Greece"
"63","Athens","London",3196895,3196.895,1986.550553,112086,1868.1,31.135,"UK","Greece"
