"","from","to","m","km","miles","seconds","minutes","hours","Country.to","Country.from"
"1","Aalborg","Rijeka",1756848,1756.848,1091.7053472,60895,1014.91666666667,16.9152777777778,"Croatia","Denmark"
"2","Aalborg","Vantaa",1114096,1114.096,692.2992544,77715,1295.25,21.5875,"Finland","Denmark"
"3","Aalborg","Charleroi",1064538,1064.538,661.5039132,36459,607.65,10.1275,"Belgium","Denmark"
"4","Aalborg","Bergen",661778,661.778,411.2288492,42139,702.316666666667,11.7052777777778,"Norway","Denmark"
"5","Aalborg","Goteborg",160193,160.193,99.5439302,18944,315.733333333333,5.26222222222222,"Sweden","Denmark"
"6","Aalborg","Larnaca",3992571,3992.571,2480.9836194,155088,2584.8,43.08,"Cyprus","Denmark"
"7","Aalborg","Brno",1273265,1273.265,791.206871,44488,741.466666666667,12.3577777777778,"Czech Republic","Denmark"
"8","Aalborg","Olomouc",1378534,1378.534,856.6210276,46209,770.15,12.8358333333333,"Czech Republic","Denmark"
"9","Aalborg","Lodz",1195093,1195.093,742.6307902,39640,660.666666666667,11.0111111111111,"Poland","Denmark"
"10","Aalborg","Trondheim",860064,860.064,534.4437696,43796,729.933333333333,12.1655555555556,"Norway","Denmark"
"11","Aalborg","Lyon",1628074,1628.074,1011.6851836,53983,899.716666666667,14.9952777777778,"France","Denmark"
"12","Aalborg","Vasteras",534676,534.676,332.2476664,33721,562.016666666667,9.36694444444444,"Sweden","Denmark"
"13","Aalborg","Copenhagen",416037,416.037,258.5253918,14955,249.25,4.15416666666667,"Denmark","Denmark"
"14","Aalborg","Marseille",1934249,1934.249,1201.9423286,63567,1059.45,17.6575,"France","Denmark"
"15","Aalborg","Ruse",2473451,2473.451,1537.0024514,90968,1516.13333333333,25.2688888888889,"Bulgaria","Denmark"
"16","Aalborg","Zabbar",3132038,3132.038,1946.2484132,120283,2004.71666666667,33.4119444444444,"Malta","Denmark"
"17","Aalborg","Setubal",3085765,3085.765,1917.494371,102086,1701.43333333333,28.3572222222222,"Portugal","Denmark"
"18","Aalborg","Bucharest",2420184,2420.184,1503.9023376,87974,1466.23333333333,24.4372222222222,"Romania","Denmark"
"19","Aalborg","Gent",1046663,1046.663,650.3963882,36460,607.666666666667,10.1277777777778,"Belgium","Denmark"
"20","Aalborg","Split",2117129,2117.129,1315.5839606,70970,1182.83333333333,19.7138888888889,"Croatia","Denmark"
"21","Aalborg","Helsinki",1106532,1106.532,687.5989848,77801,1296.68333333333,21.6113888888889,"Finland","Denmark"
"22","Aalborg","Panevezys",1781804,1781.804,1107.2130056,64309,1071.81666666667,17.8636111111111,"Lithuania","Denmark"
"23","Aalborg","Ostrava",1286445,1286.445,799.396923,43496,724.933333333333,12.0822222222222,"Czech Republic","Denmark"
"24","Aalborg","Utrecht",880002,880.002,546.8332428,30232,503.866666666667,8.39777777777778,"Netherlands","Denmark"
"25","Aalborg","Leeds",1667417,1667.417,1036.1329238,59877,997.95,16.6325,"UK","Denmark"
"26","Aalborg","Turku",941997,941.997,585.3569358,71462,1191.03333333333,19.8505555555556,"Finland","Denmark"
"27","Aalborg","Stavanger-Sandnes",434263,434.263,269.8510282,26965,449.416666666667,7.49027777777778,"Norway","Denmark"
"28","Aalborg","Velenje",1683507,1683.507,1046.1312498,56834,947.233333333333,15.7872222222222,"Slovenia","Denmark"
