"","from","to","m","km","miles","seconds","minutes","hours","Country.to","Country.from"
"1","Amsterdam","Aalborg",902262,902.262,560.6656068,31325,522.083333333333,8.70138888888889,"Denmark","Netherlands"
"2","Amsterdam","Amadora",2247554,2247.554,1396.6300556,74157,1235.95,20.5991666666667,"Portugal","Netherlands"
"3","Amsterdam","Amsterdam",0,0,0,0,0,0,"Netherlands","Netherlands"
"4","Amsterdam","Antwerp",157488,157.488,97.8630432,6929,115.483333333333,1.92472222222222,"Belgium","Netherlands"
"5","Amsterdam","Arhus",792983,792.983,492.7596362,27851,464.183333333333,7.73638888888889,"Denmark","Netherlands"
"6","Amsterdam","Athens",2866912,2866.912,1781.4991168,99063,1651.05,27.5175,"Greece","Netherlands"
"7","Amsterdam","Barcelona",1546862,1546.862,961.2200468,51731,862.183333333333,14.3697222222222,"Spain","Netherlands"
"8","Amsterdam","Bergen",1563756,1563.756,971.7179784,72610,1210.16666666667,20.1694444444444,"Norway","Netherlands"
"9","Amsterdam","Berlin",655036,655.036,407.0393704,23219,386.983333333333,6.44972222222222,"Germany","Netherlands"
"10","Amsterdam","Bettembourg",419385,419.385,260.605839,14823,247.05,4.1175,"Luxembourg","Netherlands"
"11","Amsterdam","Birkirkara",2670217,2670.217,1659.2728438,105343,1755.71666666667,29.2619444444444,"Malta","Netherlands"
"12","Amsterdam","Birmingham",NA,NA,NA,NA,NA,NA,"UK","Netherlands"
"13","Amsterdam","Braga",2063664,2063.664,1282.3608096,68020,1133.66666666667,18.8944444444444,"Portugal","Netherlands"
"14","Amsterdam","Bratislava",1204041,1204.041,748.1910774,41792,696.533333333333,11.6088888888889,"Slovakia","Netherlands"
"15","Amsterdam","Brno",1081058,1081.058,671.7694412,37886,631.433333333333,10.5238888888889,"Czech Republic","Netherlands"
"16","Amsterdam","Brussels",202305,202.305,125.712327,8827,147.116666666667,2.45194444444444,"Belgium","Netherlands"
"17","Amsterdam","Bucharest",2222946,2222.946,1381.3386444,80682,1344.7,22.4116666666667,"Romania","Netherlands"
"18","Amsterdam","Budapest",1395349,1395.349,867.0698686,47620,793.666666666667,13.2277777777778,"Hungary","Netherlands"
"19","Amsterdam","Burgas",2548378,2548.378,1583.5620892,87280,1454.66666666667,24.2444444444444,"Bulgaria","Netherlands"
"20","Amsterdam","Celje",1262485,1262.485,784.508179,43641,727.35,12.1225,"Slovenia","Netherlands"
"21","Amsterdam","Charleroi",266476,266.476,165.5881864,10308,171.8,2.86333333333333,"Belgium","Netherlands"
"22","Amsterdam","Cluj-Napoca",1811016,1811.016,1125.3653424,67967,1132.78333333333,18.8797222222222,"Romania","Netherlands"
"23","Amsterdam","Cologne",267743,267.743,166.3755002,10372,172.866666666667,2.88111111111111,"Germany","Netherlands"
"24","Amsterdam","Copenhagen",791081,791.081,491.5777334,31378,522.966666666667,8.71611111111111,"Denmark","Netherlands"
"25","Amsterdam","Cracow",1215188,1215.188,755.1178232,40912,681.866666666667,11.3644444444444,"Poland","Netherlands"
"26","Amsterdam","Craiova",2017534,2017.534,1253.6956276,71283,1188.05,19.8008333333333,"Romania","Netherlands"
"27","Amsterdam","Daugavpils",1795043,1795.043,1115.4397202,67435,1123.91666666667,18.7319444444444,"Latvia","Netherlands"
"28","Amsterdam","Debrecen",1651274,1651.274,1026.1016636,55529,925.483333333333,15.4247222222222,"Hungary","Netherlands"
"29","Amsterdam","Drammen",1227823,1227.823,762.9692122,49909,831.816666666667,13.8636111111111,"Norway","Netherlands"
"30","Amsterdam","Dudelange",425050,425.05,264.12607,14996,249.933333333333,4.16555555555556,"Luxembourg","Netherlands"
"31","Amsterdam","Eindhoven",124556,124.556,77.3990984,5243,87.3833333333333,1.45638888888889,"Netherlands","Netherlands"
"32","Amsterdam","Esbjerg",723514,723.514,449.5915996,26662,444.366666666667,7.40611111111111,"Denmark","Netherlands"
"33","Amsterdam","Esch-Alzette",422010,422.01,262.237014,14898,248.3,4.13833333333333,"Luxembourg","Netherlands"
"34","Amsterdam","Espoo",1897091,1897.091,1178.8523474,94710,1578.5,26.3083333333333,"Finland","Netherlands"
"35","Amsterdam","Frankfurt",440263,440.263,273.5794282,16113,268.55,4.47583333333333,"Germany","Netherlands"
"36","Amsterdam","Gazimagusa",3785671,3785.671,2352.4159594,147319,2455.31666666667,40.9219444444444,"Cyprus","Netherlands"
