"","from","to","m","km","miles","seconds","minutes","hours","Country.to","Country.from"
"1","Birmingham","Aalborg",NA,NA,NA,NA,NA,NA,"Denmark","UK"
"2","Birmingham","Amadora",NA,NA,NA,NA,NA,NA,"Portugal","UK"
"3","Birmingham","Amsterdam",NA,NA,NA,NA,NA,NA,"Netherlands","UK"
"4","Birmingham","Antwerp",NA,NA,NA,NA,NA,NA,"Belgium","UK"
"5","Birmingham","Arhus",NA,NA,NA,NA,NA,NA,"Denmark","UK"
"6","Birmingham","Athens",NA,NA,NA,NA,NA,NA,"Greece","UK"
"7","Birmingham","Barcelona",NA,NA,NA,NA,NA,NA,"Spain","UK"
"8","Birmingham","Bergen",NA,NA,NA,NA,NA,NA,"Norway","UK"
"9","Birmingham","Berlin",NA,NA,NA,NA,NA,NA,"Germany","UK"
"10","Birmingham","Bettembourg",NA,NA,NA,NA,NA,NA,"Luxembourg","UK"
"11","Birmingham","Birkirkara",NA,NA,NA,NA,NA,NA,"Malta","UK"
"12","Birmingham","Birmingham",0,0,0,0,0,0,"UK","UK"
"13","Birmingham","Braga",NA,NA,NA,NA,NA,NA,"Portugal","UK"
"14","Birmingham","Bratislava",NA,NA,NA,NA,NA,NA,"Slovakia","UK"
"15","Birmingham","Brno",NA,NA,NA,NA,NA,NA,"Czech Republic","UK"
"16","Birmingham","Brussels",NA,NA,NA,NA,NA,NA,"Belgium","UK"
"17","Birmingham","Bucharest",NA,NA,NA,NA,NA,NA,"Romania","UK"
"18","Birmingham","Budapest",NA,NA,NA,NA,NA,NA,"Hungary","UK"
"19","Birmingham","Burgas",NA,NA,NA,NA,NA,NA,"Bulgaria","UK"
"20","Birmingham","Celje",NA,NA,NA,NA,NA,NA,"Slovenia","UK"
"21","Birmingham","Charleroi",NA,NA,NA,NA,NA,NA,"Belgium","UK"
"22","Birmingham","Cluj-Napoca",NA,NA,NA,NA,NA,NA,"Romania","UK"
"23","Birmingham","Cologne",NA,NA,NA,NA,NA,NA,"Germany","UK"
"24","Birmingham","Copenhagen",NA,NA,NA,NA,NA,NA,"Denmark","UK"
"25","Birmingham","Cracow",NA,NA,NA,NA,NA,NA,"Poland","UK"
"26","Birmingham","Craiova",NA,NA,NA,NA,NA,NA,"Romania","UK"
"27","Birmingham","Daugavpils",NA,NA,NA,NA,NA,NA,"Latvia","UK"
"28","Birmingham","Debrecen",NA,NA,NA,NA,NA,NA,"Hungary","UK"
"29","Birmingham","Drammen",NA,NA,NA,NA,NA,NA,"Norway","UK"
"30","Birmingham","Dudelange",NA,NA,NA,NA,NA,NA,"Luxembourg","UK"
"31","Birmingham","Eindhoven",NA,NA,NA,NA,NA,NA,"Netherlands","UK"
"32","Birmingham","Esbjerg",NA,NA,NA,NA,NA,NA,"Denmark","UK"
"33","Birmingham","Esch-Alzette",NA,NA,NA,NA,NA,NA,"Luxembourg","UK"
"34","Birmingham","Espoo",NA,NA,NA,NA,NA,NA,"Finland","UK"
"35","Birmingham","Frankfurt",NA,NA,NA,NA,NA,NA,"Germany","UK"
"36","Birmingham","Gazimagusa",NA,NA,NA,NA,NA,NA,"Cyprus","UK"
"37","Birmingham","Gent",NA,NA,NA,NA,NA,NA,"Belgium","UK"
"38","Birmingham","Glasgow",NA,NA,NA,NA,NA,NA,"UK","UK"
"39","Birmingham","Goteborg",NA,NA,NA,NA,NA,NA,"Sweden","UK"
"40","Birmingham","Graz",NA,NA,NA,NA,NA,NA,"Austria","UK"
"41","Birmingham","Hamburg",NA,NA,NA,NA,NA,NA,"Germany","UK"
"42","Birmingham","Helsinki",NA,NA,NA,NA,NA,NA,"Finland","UK"
"43","Birmingham","Iasi",NA,NA,NA,NA,NA,NA,"Romania","UK"
"44","Birmingham","Innsbruck",NA,NA,NA,NA,NA,NA,"Austria","UK"
"45","Birmingham","Iraklion",NA,NA,NA,NA,NA,NA,"Greece","UK"
"46","Birmingham","Jelgava",NA,NA,NA,NA,NA,NA,"Latvia","UK"
"47","Birmingham","Jurmala",NA,NA,NA,NA,NA,NA,"Latvia","UK"
"48","Birmingham","Kaunas",NA,NA,NA,NA,NA,NA,"Lithuania","UK"
"49","Birmingham","Klaipeda",NA,NA,NA,NA,NA,NA,"Lithuania","UK"
"50","Birmingham","Kohtla-Jarve",NA,NA,NA,NA,NA,NA,"Estonia","UK"
"51","Birmingham","Kosice",NA,NA,NA,NA,NA,NA,"Slovakia","UK"
"52","Birmingham","Kranj",NA,NA,NA,NA,NA,NA,"Slovenia","UK"
"53","Birmingham","Larnaca",NA,NA,NA,NA,NA,NA,"Cyprus","UK"
"54","Birmingham","Leeds",NA,NA,NA,NA,NA,NA,"UK","UK"
"55","Birmingham","Lemesos",NA,NA,NA,NA,NA,NA,"Cyprus","UK"
"56","Birmingham","Liege",NA,NA,NA,NA,NA,NA,"Belgium","UK"
"57","Birmingham","Liepaja",NA,NA,NA,NA,NA,NA,"Latvia","UK"
"58","Birmingham","Linz",NA,NA,NA,NA,NA,NA,"Austria","UK"
"59","Birmingham","Lisbon",NA,NA,NA,NA,NA,NA,"Portugal","UK"
"60","Birmingham","Liverpool",NA,NA,NA,NA,NA,NA,"UK","UK"
"61","Birmingham","Ljubljana",NA,NA,NA,NA,NA,NA,"Slovenia","UK"
"62","Birmingham","Lodz",NA,NA,NA,NA,NA,NA,"Poland","UK"
"63","Birmingham","London",NA,NA,NA,NA,NA,NA,"UK","UK"
"64","Birmingham","Luxemburg",NA,NA,NA,NA,NA,NA,"Luxembourg","UK"
"65","Birmingham","Lyon",NA,NA,NA,NA,NA,NA,"France","UK"
"66","Birmingham","Madrid",NA,NA,NA,NA,NA,NA,"Spain","UK"
"67","Birmingham","Malmo",NA,NA,NA,NA,NA,NA,"Sweden","UK"
"68","Birmingham","Maribor",NA,NA,NA,NA,NA,NA,"Slovenia","UK"
"69","Birmingham","Marseille",NA,NA,NA,NA,NA,NA,"France","UK"
"70","Birmingham","Milan",NA,NA,NA,NA,NA,NA,"Italy","UK"
"71","Birmingham","Miskolc",NA,NA,NA,NA,NA,NA,"Hungary","UK"
"72","Birmingham","Mosta",NA,NA,NA,NA,NA,NA,"Malta","UK"
"73","Birmingham","Munich",NA,NA,NA,NA,NA,NA,"Germany","UK"
"74","Birmingham","Naples",1222605,1222.605,759.726747,38566,642.766666666667,10.7127777777778,"Italy","UK"
"75","Birmingham","Narva",NA,NA,NA,NA,NA,NA,"Estonia","UK"
"76","Birmingham","Nice",NA,NA,NA,NA,NA,NA,"France","UK"
"77","Birmingham","Nicosia",NA,NA,NA,NA,NA,NA,"Cyprus","UK"
"78","Birmingham","Nicosia",NA,NA,NA,NA,NA,NA,"Cyprus","UK"
"79","Birmingham","Nicosia",NA,NA,NA,NA,NA,NA,"Cyprus","UK"
"80","Birmingham","Nicosia",NA,NA,NA,NA,NA,NA,"Cyprus","UK"
"81","Birmingham","Nitra",NA,NA,NA,NA,NA,NA,"Slovakia","UK"
"82","Birmingham","Odense",NA,NA,NA,NA,NA,NA,"Denmark","UK"
"83","Birmingham","Olomouc",NA,NA,NA,NA,NA,NA,"Czech Republic","UK"
"84","Birmingham","Osijek",NA,NA,NA,NA,NA,NA,"Croatia","UK"
