"","from","to","m","km","miles","seconds","minutes","hours","Country.to","Country.from"
"1","Amadora","Aalborg",3072842,3072.842,1909.4640188,100829,1680.48333333333,28.0080555555556,"Denmark","Portugal"
"2","Amadora","Amadora",0,0,0,0,0,0,"Portugal","Portugal"
"3","Amadora","Amsterdam",2237512,2237.512,1390.3899568,73607,1226.78333333333,20.4463888888889,"Netherlands","Portugal"
"4","Amadora","Antwerp",2077165,2077.165,1290.750331,67821,1130.35,18.8391666666667,"Belgium","Portugal"
"5","Amadora","Arhus",2963563,2963.563,1841.5580482,97355,1622.58333333333,27.0430555555556,"Denmark","Portugal"
"6","Amadora","Athens",4236544,4236.544,2632.5884416,141925,2365.41666666667,39.4236111111111,"Greece","Portugal"
"7","Amadora","Barcelona",1254850,1254.85,779.76379,40013,666.883333333333,11.1147222222222,"Spain","Portugal"
"8","Amadora","Bergen",3734336,3734.336,2320.5163904,142113,2368.55,39.4758333333333,"Norway","Portugal"
"9","Amadora","Berlin",2784120,2784.12,1730.052168,90809,1513.48333333333,25.2247222222222,"Germany","Portugal"
"10","Amadora","Bettembourg",2113227,2113.227,1313.1592578,66653,1110.88333333333,18.5147222222222,"Luxembourg","Portugal"
"11","Amadora","Birkirkara",3534857,3534.857,2196.5601398,131924,2198.73333333333,36.6455555555556,"Malta","Portugal"
"12","Amadora","Birmingham",NA,NA,NA,NA,NA,NA,"UK","Portugal"
"13","Amadora","Braga",367624,367.624,228.4415536,11888,198.133333333333,3.30222222222222,"Portugal","Portugal"
"14","Amadora","Bratislava",2997820,2997.82,1862.845348,98298,1638.3,27.305,"Slovakia","Portugal"
"15","Amadora","Brno",2981739,2981.739,1852.8526146,95041,1584.01666666667,26.4002777777778,"Czech Republic","Portugal"
"16","Amadora","Brussels",2050315,2050.315,1274.065741,66847,1114.11666666667,18.5686111111111,"Belgium","Portugal"
"17","Amadora","Bucharest",3896902,3896.902,2421.5349028,133682,2228.03333333333,37.1338888888889,"Romania","Portugal"
"18","Amadora","Budapest",3072955,3072.955,1909.534237,100750,1679.16666666667,27.9861111111111,"Hungary","Portugal"
"19","Amadora","Burgas",3918010,3918.01,2434.651414,130142,2169.03333333333,36.1505555555556,"Bulgaria","Portugal"
"20","Amadora","Celje",2689007,2689.007,1670.9489498,88494,1474.9,24.5816666666667,"Slovenia","Portugal"
"21","Amadora","Charleroi",2020889,2020.889,1255.7804246,65398,1089.96666666667,18.1661111111111,"Belgium","Portugal"
"22","Amadora","Cluj-Napoca",3484972,3484.972,2165.5616008,120966,2016.1,33.6016666666667,"Romania","Portugal"
"23","Amadora","Cologne",2231176,2231.176,1386.4527664,72407,1206.78333333333,20.1130555555556,"Germany","Portugal"
"24","Amadora","Copenhagen",2961661,2961.661,1840.3761454,100881,1681.35,28.0225,"Denmark","Portugal"
"25","Amadora","Cracow",3287476,3287.476,2042.8375864,104316,1738.6,28.9766666666667,"Poland","Portugal"
"26","Amadora","Craiova",3498846,3498.846,2174.1829044,119658,1994.3,33.2383333333333,"Romania","Portugal"
"27","Amadora","Daugavpils",3924128,3924.128,2438.4531392,135024,2250.4,37.5066666666667,"Latvia","Portugal"
"28","Amadora","Debrecen",3325230,3325.23,2066.297922,108529,1808.81666666667,30.1469444444444,"Hungary","Portugal"
"29","Amadora","Drammen",3398404,3398.404,2111.7682456,119412,1990.2,33.17,"Norway","Portugal"
"30","Amadora","Dudelange",2113285,2113.285,1313.195299,66596,1109.93333333333,18.4988888888889,"Luxembourg","Portugal"
"31","Amadora","Eindhoven",2164733,2164.733,1345.1650862,70751,1179.18333333333,19.6530555555556,"Netherlands","Portugal"
"32","Amadora","Esbjerg",2894094,2894.094,1798.3900116,96166,1602.76666666667,26.7127777777778,"Denmark","Portugal"
"33","Amadora","Esch-Alzette",2088191,2088.191,1297.6018874,66829,1113.81666666667,18.5636111111111,"Luxembourg","Portugal"
"34","Amadora","Espoo",4067671,4067.671,2527.6507594,164214,2736.9,45.615,"Finland","Portugal"
"35","Amadora","Frankfurt",2321178,2321.178,1442.3800092,73726,1228.76666666667,20.4794444444444,"Germany","Portugal"
"36","Amadora","Gazimagusa",5155304,5155.304,3203.5059056,190181,3169.68333333333,52.8280555555556,"Cyprus","Portugal"
"37","Amadora","Gent",2027119,2027.119,1259.6517466,66116,1101.93333333333,18.3655555555556,"Belgium","Portugal"
"38","Amadora","Glasgow",2862904,2862.904,1779.0085456,95427,1590.45,26.5075,"UK","Portugal"
"39","Amadora","Goteborg",3264928,3264.928,2028.8262592,111261,1854.35,30.9058333333333,"Sweden","Portugal"
"40","Amadora","Graz",2790026,2790.026,1733.7221564,92145,1535.75,25.5958333333333,"Austria","Portugal"
"41","Amadora","Hamburg",2636409,2636.409,1638.2645526,85754,1429.23333333333,23.8205555555556,"Germany","Portugal"
"42","Amadora","Helsinki",4367010,4367.01,2713.660014,161472,2691.2,44.8533333333333,"Finland","Portugal"
"43","Amadora","Iasi",3916760,3916.76,2433.874664,141065,2351.08333333333,39.1847222222222,"Romania","Portugal"
"44","Amadora","Innsbruck",2413155,2413.155,1499.534517,81123,1352.05,22.5341666666667,"Austria","Portugal"
"45","Amadora","Iraklion",4573917,4573.917,2842.2320238,176690,2944.83333333333,49.0805555555556,"Greece","Portugal"
"46","Amadora","Jelgava",3935716,3935.716,2445.6539224,134244,2237.4,37.29,"Latvia","Portugal"
"47","Amadora","Jurmala",3980203,3980.203,2473.2981442,136347,2272.45,37.8741666666667,"Latvia","Portugal"
"48","Amadora","Kaunas",3713604,3713.604,2307.6335256,124641,2077.35,34.6225,"Lithuania","Portugal"
